prompt_id,image_path,prompt,color_score,spatial_score,count_score,relevance_score,overall_score
17,/data/coding/output/NewPrompts_Normal/prompt_017_normal.jpg,"4 sapphire blue stone circles spiraling around 6 ruby red wooden bridges in a enchanted forest, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.0,0.0,0.0625
18,/data/coding/output/NewPrompts_Normal/prompt_018_normal.jpg,"9 obsidian black neon fish suspended between 8 coral pink marble statues in a crystal cave, hyperrealistic, cinematic lighting, 8K resolution",0.0,0.0,0.0,0.0,0.0
19,/data/coding/output/NewPrompts_Normal/prompt_019_normal.jpg,"6 jade green metal spheres spiraling around 7 rose pink floating islands in a desert oasis, hyperrealistic, cinematic lighting, 8K resolution",0.3333333333333333,0.0,1.0,0.0,0.3333333333333333
20,/data/coding/output/NewPrompts_Normal/prompt_020_normal.jpg,"2 azure blue fire spirits suspended between 3 silver white light beams in a mountain peak, hyperrealistic, cinematic lighting, 8K resolution",0.0,0.0,1.0,0.027777777777777776,0.2569444444444444
21,/data/coding/output/NewPrompts_Normal/prompt_021_normal.jpg,"9 crimson red fire spirits emerging from 6 pearl white crystal towers in a desert oasis, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.0,0.0,0.0625
22,/data/coding/output/NewPrompts_Normal/prompt_022_normal.jpg,"4 obsidian black fire spirits cascading down from 8 rose pink stone circles in a floating city, hyperrealistic, cinematic lighting, 8K resolution",0.0,0.0,1.0,0.0,0.25
23,/data/coding/output/NewPrompts_Normal/prompt_023_normal.jpg,"6 emerald green glowing butterflies nestled within 9 coral pink marble statues in a underwater realm, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.0,0.0,0.0625
24,/data/coding/output/NewPrompts_Normal/prompt_024_normal.jpg,"8 obsidian black fabric clouds hovering beneath 5 jade green crystal towers in a ancient temple, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.5,0.0,0.1875
25,/data/coding/output/NewPrompts_Normal/prompt_025_normal.jpg,"4 azure blue water droplets emerging from 3 crimson red marble statues in a cloud palace, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.5,0.0,0.1875
26,/data/coding/output/NewPrompts_Normal/prompt_026_normal.jpg,"2 silver white glowing butterflies emerging from 7 sapphire blue light beams in a frozen tundra, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,1.0,0.0,0.3125
27,/data/coding/output/NewPrompts_Normal/prompt_027_normal.jpg,"7 jade green neon fish weaving through 5 ruby red crystal towers in a crystal cave, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.0,0.03333333333333333,0.07083333333333333
28,/data/coding/output/NewPrompts_Normal/prompt_028_normal.jpg,"3 coral pink crystal towers nestled within 5 violet purple light beams in a space station, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,1.0,0.0,0.3125
29,/data/coding/output/NewPrompts_Normal/prompt_029_normal.jpg,"5 violet purple silver dragons floating above 8 amber orange marble statues in a space station, hyperrealistic, cinematic lighting, 8K resolution",0.2,0.0,1.0,0.0,0.3
30,/data/coding/output/NewPrompts_Normal/prompt_030_normal.jpg,"3 emerald green neon fish floating above 9 silver white water droplets in a underwater realm, hyperrealistic, cinematic lighting, 8K resolution",0.0,0.0,0.5,0.08333333333333333,0.14583333333333334
31,/data/coding/output/NewPrompts_Normal/prompt_031_normal.jpg,"8 jade green mechanical birds spiraling around 2 silver white fabric clouds in a mountain peak, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,1.0,0.08333333333333333,0.3333333333333333
32,/data/coding/output/NewPrompts_Normal/prompt_032_normal.jpg,"6 violet purple light beams suspended between 4 golden yellow golden flowers in a crystal cave, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,1.0,0.06060606060606061,0.32765151515151514
33,/data/coding/output/NewPrompts_Normal/prompt_033_normal.jpg,"8 violet purple marble statues cascading down from 5 rose pink golden flowers in a underwater realm, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,1.0,0.07692307692307693,0.3317307692307692
34,/data/coding/output/NewPrompts_Normal/prompt_034_normal.jpg,"4 pearl white metal spheres weaving through 7 rose pink neon fish in a space station, hyperrealistic, cinematic lighting, 8K resolution",0.0,0.0,0.0,0.0,0.0
35,/data/coding/output/NewPrompts_Normal/prompt_035_normal.jpg,"6 violet purple mechanical birds intertwined with 2 pearl white fire spirits in a magical library, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.0,0.08333333333333333,0.08333333333333333
36,/data/coding/output/NewPrompts_Normal/prompt_036_normal.jpg,"5 rose pink water droplets intertwined with 8 pearl white light beams in a cloud palace, hyperrealistic, cinematic lighting, 8K resolution",0.3333333333333333,0.3333333333333333,0.0,0.0,0.16666666666666666
37,/data/coding/output/NewPrompts_Normal/prompt_037_normal.jpg,"2 ruby red stone circles cascading down from 9 rose pink fire spirits in a frozen tundra, hyperrealistic, cinematic lighting, 8K resolution",0.3333333333333333,0.0,1.0,0.0,0.3333333333333333
38,/data/coding/output/NewPrompts_Normal/prompt_038_normal.jpg,"4 obsidian black neon fish hovering beneath 8 silver white mechanical birds in a volcanic landscape, hyperrealistic, cinematic lighting, 8K resolution",0.0,0.0,0.0,0.08333333333333333,0.020833333333333332
39,/data/coding/output/NewPrompts_Normal/prompt_039_normal.jpg,"7 golden yellow light beams intertwined with 8 crimson red water droplets in a mountain peak, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.0,0.030303030303030304,0.07007575757575757
40,/data/coding/output/NewPrompts_Normal/prompt_040_normal.jpg,"6 rose pink glowing butterflies cascading down from 3 amber orange water droplets in a mountain peak, hyperrealistic, cinematic lighting, 8K resolution",0.0,0.0,0.0,0.0,0.0
41,/data/coding/output/NewPrompts_Normal/prompt_041_normal.jpg,"9 jade green glass pyramids intertwined with 5 violet purple marble statues in a mountain peak, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,1.0,0.0,0.3125
42,/data/coding/output/NewPrompts_Normal/prompt_042_normal.jpg,"7 golden yellow stone circles hovering beneath 6 crimson red wooden bridges in a space station, hyperrealistic, cinematic lighting, 8K resolution",0.0,0.0,0.0,0.0,0.0
43,/data/coding/output/NewPrompts_Normal/prompt_043_normal.jpg,"9 jade green fabric clouds radiating from 3 obsidian black marble statues in a cloud palace, hyperrealistic, cinematic lighting, 8K resolution",0.0,0.0,0.5,0.05555555555555555,0.1388888888888889
44,/data/coding/output/NewPrompts_Normal/prompt_044_normal.jpg,"9 pearl white glowing butterflies suspended between 7 crimson red fabric clouds in a frozen tundra, hyperrealistic, cinematic lighting, 8K resolution",0.0,0.0,0.0,0.06060606060606061,0.015151515151515152
45,/data/coding/output/NewPrompts_Normal/prompt_045_normal.jpg,"9 azure blue fabric clouds radiating from 2 coral pink glass pyramids in a floating city, hyperrealistic, cinematic lighting, 8K resolution",0.0,0.0,0.0,0.027777777777777776,0.006944444444444444
46,/data/coding/output/NewPrompts_Normal/prompt_046_normal.jpg,"2 violet purple silver dragons suspended between 7 azure blue golden flowers in a cloud palace, hyperrealistic, cinematic lighting, 8K resolution",0.16666666666666666,0.0,0.5,0.0,0.16666666666666666
47,/data/coding/output/NewPrompts_Normal/prompt_047_normal.jpg,"6 copper orange fabric clouds hovering beneath 9 jade green floating islands in a frozen tundra, hyperrealistic, cinematic lighting, 8K resolution",0.0,0.0,0.0,0.0,0.0
48,/data/coding/output/NewPrompts_Normal/prompt_048_normal.jpg,"8 amber orange wooden bridges spiraling around 5 azure blue crystal towers in a volcanic landscape, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.0,0.0,0.0625
49,/data/coding/output/NewPrompts_Normal/prompt_049_normal.jpg,"5 coral pink neon fish suspended between 9 copper orange mechanical birds in a space station, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.0,0.05555555555555555,0.0763888888888889
50,/data/coding/output/NewPrompts_Normal/prompt_050_normal.jpg,"9 ruby red golden flowers emerging from 4 amber orange metal spheres in a magical library, hyperrealistic, cinematic lighting, 8K resolution",0.2,0.0,1.0,0.0909090909090909,0.3227272727272727
51,/data/coding/output/NewPrompts_Normal/prompt_051_normal.jpg,"3 sapphire blue golden flowers cascading down from 9 rose pink fabric clouds in a frozen tundra, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,1.0,0.07692307692307693,0.3317307692307692
52,/data/coding/output/NewPrompts_Normal/prompt_052_normal.jpg,"2 golden yellow water droplets hovering beneath 5 rose pink fabric clouds in a mountain peak, hyperrealistic, cinematic lighting, 8K resolution",0.0,0.0,0.5,0.0,0.125
53,/data/coding/output/NewPrompts_Normal/prompt_053_normal.jpg,"7 crimson red neon fish radiating from 4 rose pink stone circles in a cloud palace, hyperrealistic, cinematic lighting, 8K resolution",0.3333333333333333,0.0,0.5,0.0909090909090909,0.23106060606060605
54,/data/coding/output/NewPrompts_Normal/prompt_054_normal.jpg,"5 amber orange wooden bridges spiraling around 8 copper orange fire spirits in a mountain peak, hyperrealistic, cinematic lighting, 8K resolution",0.0,0.0,0.0,0.0,0.0
55,/data/coding/output/NewPrompts_Normal/prompt_055_normal.jpg,"9 emerald green water droplets emerging from 6 obsidian black glowing butterflies in a underwater realm, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.5,0.0,0.1875
56,/data/coding/output/NewPrompts_Normal/prompt_056_normal.jpg,"9 jade green glass pyramids radiating from 8 golden yellow glowing butterflies in a enchanted forest, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.0,0.0,0.0625
57,/data/coding/output/NewPrompts_Normal/prompt_057_normal.jpg,"2 rose pink crystal towers radiating from 6 sapphire blue wooden bridges in a mountain peak, hyperrealistic, cinematic lighting, 8K resolution",0.0,0.0,1.0,0.0,0.25
58,/data/coding/output/NewPrompts_Normal/prompt_058_normal.jpg,"6 sapphire blue golden flowers spiraling around 4 silver white crystal towers in a volcanic landscape, hyperrealistic, cinematic lighting, 8K resolution",0.2,0.0,0.5,0.08333333333333333,0.19583333333333333
59,/data/coding/output/NewPrompts_Normal/prompt_059_normal.jpg,"6 pearl white stone circles floating above 3 silver white silver dragons in a underwater realm, hyperrealistic, cinematic lighting, 8K resolution",0.0,0.0,1.0,0.0,0.25
60,/data/coding/output/NewPrompts_Normal/prompt_060_normal.jpg,"3 golden yellow glass pyramids radiating from 4 jade green neon fish in a crystal cave, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.5,0.0,0.1875
61,/data/coding/output/NewPrompts_Normal/prompt_061_normal.jpg,"4 silver white marble statues radiating from 5 ruby red stone circles in a underwater realm, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,1.0,0.0,0.3125
62,/data/coding/output/NewPrompts_Normal/prompt_062_normal.jpg,"7 emerald green floating islands floating above 5 obsidian black glowing butterflies in a space station, hyperrealistic, cinematic lighting, 8K resolution",0.0,0.0,0.0,0.0,0.0
63,/data/coding/output/NewPrompts_Normal/prompt_063_normal.jpg,"3 emerald green fabric clouds floating above 6 azure blue stone circles in a desert oasis, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,1.0,0.08333333333333333,0.3333333333333333
64,/data/coding/output/NewPrompts_Normal/prompt_064_normal.jpg,"3 rose pink fabric clouds nestled within 9 violet purple water droplets in a cloud palace, hyperrealistic, cinematic lighting, 8K resolution",0.3333333333333333,0.0,0.5,0.08333333333333333,0.22916666666666666
65,/data/coding/output/NewPrompts_Normal/prompt_065_normal.jpg,"3 ruby red golden flowers suspended between 9 azure blue metal spheres in a crystal cave, hyperrealistic, cinematic lighting, 8K resolution",0.2,0.0,0.0,0.0909090909090909,0.07272727272727272
66,/data/coding/output/NewPrompts_Normal/prompt_066_normal.jpg,"2 golden yellow silver dragons spiraling around 6 coral pink crystal towers in a ancient temple, hyperrealistic, cinematic lighting, 8K resolution",0.0,0.0,1.0,0.0,0.25
67,/data/coding/output/NewPrompts_Normal/prompt_067_normal.jpg,"3 azure blue mechanical birds hovering beneath 5 sapphire blue crystal towers in a desert oasis, hyperrealistic, cinematic lighting, 8K resolution",0.3333333333333333,0.0,1.0,0.0,0.3333333333333333
68,/data/coding/output/NewPrompts_Normal/prompt_068_normal.jpg,"7 crimson red light beams intertwined with 9 pearl white water droplets in a mountain peak, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.0,0.06060606060606061,0.07765151515151515
69,/data/coding/output/NewPrompts_Normal/prompt_069_normal.jpg,"3 coral pink silver dragons hovering beneath 8 emerald green golden flowers in a underwater realm, hyperrealistic, cinematic lighting, 8K resolution",0.0,0.0,0.5,0.027777777777777776,0.13194444444444445
70,/data/coding/output/NewPrompts_Normal/prompt_070_normal.jpg,"8 crimson red fabric clouds nestled within 6 pearl white metal spheres in a volcanic landscape, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.0,0.0,0.0625
71,/data/coding/output/NewPrompts_Normal/prompt_071_normal.jpg,"6 golden yellow golden flowers suspended between 3 silver white light beams in a space station, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.0,0.0909090909090909,0.08522727272727272
72,/data/coding/output/NewPrompts_Normal/prompt_072_normal.jpg,"3 jade green metal spheres spiraling around 8 obsidian black fabric clouds in a enchanted forest, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.0,0.0,0.0625
73,/data/coding/output/NewPrompts_Normal/prompt_073_normal.jpg,"5 jade green fabric clouds spiraling around 7 rose pink crystal towers in a space station, hyperrealistic, cinematic lighting, 8K resolution",0.3333333333333333,0.0,0.0,0.08333333333333333,0.10416666666666666
74,/data/coding/output/NewPrompts_Normal/prompt_074_normal.jpg,"7 copper orange marble statues cascading down from 9 crimson red wooden bridges in a space station, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.0,0.0,0.0625
75,/data/coding/output/NewPrompts_Normal/prompt_075_normal.jpg,"4 obsidian black wooden bridges piercing through 9 amber orange golden flowers in a mountain peak, hyperrealistic, cinematic lighting, 8K resolution",0.2,0.0,0.5,0.0,0.175
76,/data/coding/output/NewPrompts_Normal/prompt_076_normal.jpg,"9 sapphire blue crystal towers orbiting around 2 jade green stone circles in a enchanted forest, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,1.0,0.0,0.3125
77,/data/coding/output/NewPrompts_Normal/prompt_077_normal.jpg,"7 golden yellow stone circles weaving through 4 violet purple wooden bridges in a magical library, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.0,0.0,0.0625
78,/data/coding/output/NewPrompts_Normal/prompt_078_normal.jpg,"4 emerald green silver dragons weaving through 5 golden yellow floating islands in a ancient temple, hyperrealistic, cinematic lighting, 8K resolution",0.2,0.0,1.0,0.0,0.3
79,/data/coding/output/NewPrompts_Normal/prompt_079_normal.jpg,"7 crimson red metal spheres nestled within 2 sapphire blue crystal towers in a mountain peak, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,1.0,0.0,0.3125
80,/data/coding/output/NewPrompts_Normal/prompt_080_normal.jpg,"9 ruby red mechanical birds hovering beneath 3 amber orange neon fish in a ancient temple, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.5,0.0,0.1875
81,/data/coding/output/NewPrompts_Normal/prompt_081_normal.jpg,"5 sapphire blue mechanical birds nestled within 9 amber orange crystal towers in a ancient temple, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.5,0.05555555555555555,0.2013888888888889
82,/data/coding/output/NewPrompts_Normal/prompt_082_normal.jpg,"2 emerald green glass pyramids orbiting around 6 sapphire blue water droplets in a frozen tundra, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,1.0,0.0,0.3125
83,/data/coding/output/NewPrompts_Normal/prompt_083_normal.jpg,"5 golden yellow wooden bridges intertwined with 4 pearl white fire spirits in a underwater realm, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.0,0.0,0.0625
84,/data/coding/output/NewPrompts_Normal/prompt_084_normal.jpg,"3 copper orange golden flowers emerging from 2 silver white stone circles in a volcanic landscape, hyperrealistic, cinematic lighting, 8K resolution",0.0,0.0,1.0,0.027777777777777776,0.2569444444444444
85,/data/coding/output/NewPrompts_Normal/prompt_085_normal.jpg,"9 rose pink stone circles cascading down from 3 violet purple golden flowers in a ancient temple, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.0,0.07692307692307693,0.08173076923076923
86,/data/coding/output/NewPrompts_Normal/prompt_086_normal.jpg,"6 pearl white floating islands cascading down from 7 emerald green mechanical birds in a volcanic landscape, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,1.0,0.07692307692307693,0.3317307692307692
87,/data/coding/output/NewPrompts_Normal/prompt_087_normal.jpg,"7 crimson red wooden bridges spiraling around 9 violet purple marble statues in a floating city, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.0,0.0,0.0625
88,/data/coding/output/NewPrompts_Normal/prompt_088_normal.jpg,"7 coral pink stone circles spiraling around 5 rose pink water droplets in a desert oasis, hyperrealistic, cinematic lighting, 8K resolution",0.5,0.0,0.0,0.0,0.125
89,/data/coding/output/NewPrompts_Normal/prompt_089_normal.jpg,"8 pearl white water droplets suspended between 4 crimson red metal spheres in a ancient temple, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.0,0.0,0.0625
90,/data/coding/output/NewPrompts_Normal/prompt_090_normal.jpg,"5 ruby red wooden bridges nestled within 9 violet purple glowing butterflies in a ancient temple, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.0,0.0,0.0625
91,/data/coding/output/NewPrompts_Normal/prompt_091_normal.jpg,"7 crimson red water droplets orbiting around 3 pearl white stone circles in a underwater realm, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.0,0.0,0.0625
92,/data/coding/output/NewPrompts_Normal/prompt_092_normal.jpg,"2 amber orange water droplets nestled within 3 pearl white glowing butterflies in a cloud palace, hyperrealistic, cinematic lighting, 8K resolution",0.0,0.0,0.0,0.0,0.0
93,/data/coding/output/NewPrompts_Normal/prompt_093_normal.jpg,"8 rose pink metal spheres intertwined with 2 amber orange silver dragons in a underwater realm, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.5,0.0,0.1875
94,/data/coding/output/NewPrompts_Normal/prompt_094_normal.jpg,"2 sapphire blue metal spheres orbiting around 8 ruby red water droplets in a frozen tundra, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.5,0.0,0.1875
95,/data/coding/output/NewPrompts_Normal/prompt_095_normal.jpg,"2 jade green silver dragons orbiting around 4 violet purple fabric clouds in a cloud palace, hyperrealistic, cinematic lighting, 8K resolution",0.2,0.0,0.5,0.05555555555555555,0.18888888888888888
96,/data/coding/output/NewPrompts_Normal/prompt_096_normal.jpg,"2 crimson red metal spheres nestled within 4 silver white silver dragons in a space station, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,1.0,0.0,0.3125
97,/data/coding/output/NewPrompts_Normal/prompt_097_normal.jpg,"6 copper orange neon fish weaving through 5 violet purple light beams in a volcanic landscape, hyperrealistic, cinematic lighting, 8K resolution",0.0,0.0,1.0,0.08333333333333333,0.2708333333333333
98,/data/coding/output/NewPrompts_Normal/prompt_098_normal.jpg,"6 amber orange mechanical birds hovering beneath 7 ruby red marble statues in a space station, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.5,0.0,0.1875
99,/data/coding/output/NewPrompts_Normal/prompt_099_normal.jpg,"5 crimson red neon fish radiating from 7 golden yellow golden flowers in a floating city, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.0,0.10000000000000002,0.08750000000000001
100,/data/coding/output/NewPrompts_Normal/prompt_100_normal.jpg,"9 crimson red glass pyramids hovering beneath 5 emerald green light beams in a cloud palace, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.5,0.0,0.1875
